SP,GD,NUM_MUT,DROPPED_PAIRS,SEQS,IUCN,IUCN_fact,IUCN_bin,IUCN_cr.en_1,taxonid,scientific_name,kingdom,phylum,class,order,family,genus,category,population_trend,marine_system,freshwater_system,terrestrial_system
Zonotrichia atricapilla,0.001309873,44,26,14,LC,1,0,0,22721091,Zonotrichia atricapilla,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PASSERELLIDAE,Zonotrichia,LC,Decreasing,FALSE,TRUE,TRUE
Zonotrichia leucophrys,0.000222,24,88,24,LC,1,0,0,22721088,Zonotrichia leucophrys,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PASSERELLIDAE,Zonotrichia,LC,Stable,FALSE,TRUE,TRUE
Zoothera citrina,0.033335507,846,0,8,LC,1,0,0,22708375,Geokichla citrina,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Geokichla,LC,Decreasing,FALSE,TRUE,TRUE
Zoothera dauma,0.017313047,1718,0,15,LC,1,0,0,155657173,Zoothera dauma,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Zoothera,LC,Decreasing,FALSE,FALSE,TRUE
Zoothera mollissima,0.023393055,3478,34,19,LC,1,0,0,103879258,Zoothera mollissima,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Zoothera,LC,Stable,FALSE,FALSE,TRUE
Zosterops abyssinicus,0.001534426,294,38,20,LC,1,0,0,103889260,Zosterops abyssinicus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,LC,Unknown,FALSE,FALSE,TRUE
Zosterops erythropleurus,0.00210101,26,20,7,LC,1,0,0,22714027,Zosterops erythropleurus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,LC,Decreasing,FALSE,FALSE,TRUE
Zosterops flavifrons,0.014631339,2983,0,37,LC,1,0,0,22714242,Zosterops flavifrons,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,LC,Unknown,FALSE,FALSE,TRUE
Zosterops japonicus,0.000862,38,54,12,LC,1,0,0,155158005,Zosterops japonicus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,LC,Unknown,FALSE,FALSE,TRUE
Zosterops lateralis,0.006180408,1048,68,35,LC,1,0,0,22714212,Zosterops lateralis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,LC,Stable,FALSE,TRUE,TRUE
Zosterops luteus,0.001873536,12,0,7,LC,1,0,0,22714163,Zosterops luteus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,LC,Stable,FALSE,FALSE,TRUE
Zosterops maderaspatanus,0.010465386,356,90,18,LC,1,0,0,103889860,Zosterops maderaspatanus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,LC,Decreasing,FALSE,FALSE,TRUE
Zosterops palpebrosus,0.010874717,1706,412,28,LC,1,0,0,155155950,Zosterops palpebrosus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,LC,Decreasing,FALSE,FALSE,TRUE
Zosterops poliogastrus,0.008424984,613,24,13,LC,1,0,0,103891168,Zosterops poliogastrus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,LC,Unknown,FALSE,FALSE,TRUE
Zosterops senegalensis,0.018670189,5057,306,31,LC,1,0,0,22713934,Zosterops senegalensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,LC,Stable,FALSE,FALSE,TRUE
Zosterops xanthochroa,0.000596,10,0,11,LC,1,0,0,22714246,Zosterops xanthochroa,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,LC,Decreasing,FALSE,FALSE,TRUE
