SP,GD,NUM_MUT,DROPPED_PAIRS,SEQS,IUCN,IUCN_fact,IUCN_bin,IUCN_cr.en_1,taxonid,scientific_name,kingdom,phylum,class,order,family,genus,category,population_trend,marine_system,freshwater_system,terrestrial_system
Sylviparus modestus,0.003081608,567,0,19,LC,1,0,0,22711998,Sylviparus modestus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARIDAE,Sylviparus,LC,Stable,FALSE,FALSE,TRUE
Synallaxis infuscata,0.000335,5,0,6,EN,4,1,1,22702317,Synallaxis infuscata,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Synallaxis,EN,Decreasing,FALSE,FALSE,TRUE
Synallaxis ruficapilla,0.011590386,752,0,12,LC,1,0,0,22702284,Synallaxis ruficapilla,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Synallaxis,LC,Stable,FALSE,FALSE,TRUE
Synallaxis whitneyi,0.001800481,27,0,6,NT,2,0,0,22724488,Synallaxis cinerea,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Synallaxis,NT,Decreasing,FALSE,FALSE,TRUE
Syrmaticus ellioti,0.001945202,80,0,9,NT,2,0,0,22679325,Syrmaticus ellioti,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Syrmaticus,NT,Decreasing,FALSE,FALSE,TRUE
Tachymarptis melba,0.03578904,2501,0,14,LC,1,0,0,22686774,Tachymarptis melba,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,APODIDAE,Tachymarptis,LC,Stable,FALSE,TRUE,TRUE
Tachyphonus coronatus,0.005122733,7301,0,55,LC,1,0,0,22722397,Tachyphonus coronatus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Tachyphonus,LC,Stable,FALSE,FALSE,TRUE
Tachyphonus rufus,0.006807597,110,0,6,LC,1,0,0,22722400,Tachyphonus rufus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Tachyphonus,LC,Stable,FALSE,FALSE,TRUE
Tangara cayana,0.003693931,21,12,7,LC,1,0,0,103848314,Tangara cayana,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Tangara,LC,Stable,FALSE,FALSE,TRUE
Tangara cyanicollis,0.012289664,14590,0,49,LC,1,0,0,22722915,Tangara cyanicollis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Tangara,LC,Stable,FALSE,FALSE,TRUE
Tangara gyrola,0.02297617,102921,4,96,LC,1,0,0,22722878,Tangara gyrola,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Tangara,LC,Decreasing,FALSE,FALSE,TRUE
Taraba major,0.033572224,3038,0,14,LC,1,0,0,22701251,Taraba major,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THAMNOPHILIDAE,Taraba,LC,Decreasing,FALSE,FALSE,TRUE
Tarsiger cyanurus,0.008240631,8028,0,43,LC,1,0,0,105294257,Tarsiger cyanurus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Tarsiger,LC,Stable,FALSE,FALSE,TRUE
