to_IUCN,genus.x,species,He,mean_Ne,pres_hab,past_hab,iucn,mass,diet,gen_time,row_id,taxonid,scientific_name,kingdom,phylum,class,order,family,genus.y,category,population_trend,marine_system,freshwater_system,terrestrial_system,IUCN_fact,IUCN_binary
Columba livia,Columba,livia,0.0028071,232.9214,212.4574,141.0832,LC,320,PlantSeed,0.8,26,22690066,Columba livia,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Columba,LC,Decreasing,FALSE,FALSE,TRUE,1,0
Corvus brachyrhynchos,Corvus,brachyrhynchos,0.001663,17.4441,224.8789,329.1704,LC,453,Omnivore,4,27,22705990,Corvus brachyrhynchos,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CORVIDAE,Corvus,LC,Increasing,FALSE,FALSE,TRUE,1,0
Coturnix japonica,Coturnix,japonica,0.0092292,76036.4263,174.2894,386.2349,NT,96.6,PlantSeed,2,28,22678949,Coturnix japonica,ANIMALIA,CHORDATA,AVES,GALLIFORMES,PHASIANIDAE,Coturnix,NT,Decreasing,FALSE,FALSE,TRUE,2,0
Crypturellus cinnamomeus,Crypturellus,cinnamomeus,0.0075987,2.9183,75.7975,69.8223,LC,423.3,Omnivore,2,29,61214753,Crypturellus cinnamomeus,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,TINAMIDAE,Crypturellus,LC,Decreasing,FALSE,FALSE,TRUE,1,0
Cyanoderma ruficeps,Cyanoderma,ruficeps,0.0040578,22.9147,3.3578,35.1543,LC,9.5,Invertebrate,2,30,22716187,Cyanoderma ruficeps,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TIMALIIDAE,Cyanoderma,LC,Decreasing,FALSE,FALSE,TRUE,1,0
Dendrocopos noguchii,Dendrocopos,noguchii,0.0004805,4.3513,0.0287,2.6547,CR,110,Invertebrate,2,31,22681531,Dendrocopos noguchii,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Dendrocopos,CR,Decreasing,FALSE,FALSE,TRUE,5,1
Dryobates pubescens,Dryobates,pubescens,0.0046801,62.401,272.9153,344.8087,LC,495,Invertebrate,2,32,22681155,Dryobates pubescens,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Dryobates,LC,Stable,FALSE,FALSE,TRUE,1,0
Egretta garzetta,Egretta,garzetta,0.0030429,78.424,1519.9394,2565.6786,LC,222.8,Invertebrate,2,33,62774969,Egretta garzetta,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,ARDEIDAE,Egretta,LC,Increasing,FALSE,TRUE,TRUE,1,0
Eurypyga helias,Eurypyga,helias,0.0039814,56.8731,458.0751,297.5777,LC,995,VertFishScav,2,34,22691893,Eurypyga helias,ANIMALIA,CHORDATA,AVES,EURYPYGIFORMES,EURYPYGIDAE,Eurypyga,LC,Decreasing,FALSE,TRUE,TRUE,1,0
Falco cherrug,Falco,cherrug,0.0012934,17.0544,856.3832,751.1143,EN,827.3,VertFishScav,2,35,22696495,Falco cherrug,ANIMALIA,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,EN,Decreasing,TRUE,TRUE,TRUE,4,1
Falco peregrinus,Falco,peregrinus,0.0012003,16.3749,295.6349,589.0847,LC,12.6,VertFishScav,2,36,45354964,Falco peregrinus,ANIMALIA,CHORDATA,AVES,FALCONIFORMES,FALCONIDAE,Falco,LC,Increasing,TRUE,TRUE,TRUE,1,0
Ficedula albicollis,Ficedula,albicollis,0.0026364,21.9437,17.974,23.3019,LC,785,Invertebrate,12.1,37,22709315,Ficedula albicollis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Ficedula,LC,Increasing,FALSE,FALSE,TRUE,1,0
Fulmarus glacialis,Fulmarus,glacialis,0.0022297,16.9557,40.5942,30.6779,LC,1603,VertFishScav,6,38,22697866,Fulmarus glacialis,ANIMALIA,CHORDATA,AVES,PROCELLARIIFORMES,PROCELLARIIDAE,Fulmarus,LC,Increasing,TRUE,FALSE,TRUE,1,0
Gavia stellata,Gavia,stellata,0.002442,28.0535,56.8178,61.2535,LC,24,VertFishScav,2,39,22697829,Gavia stellata,ANIMALIA,CHORDATA,AVES,GAVIIFORMES,GAVIIDAE,Gavia,LC,Decreasing,TRUE,TRUE,TRUE,1,0
Geospiza fortis,Geospiza,fortis,0.003031,19.2929,0.1496,0.4528,LC,6000,Omnivore,6,40,22723734,Geospiza fortis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,THRAUPIDAE,Geospiza,LC,Stable,FALSE,FALSE,TRUE,1,0
Grus nigricollis,Grus,nigricollis,0.0010027,5.1507,41.5418,11.85,VU,4793,Omnivore,8,41,22692162,Grus nigricollis,ANIMALIA,CHORDATA,AVES,GRUIFORMES,GRUIDAE,Grus,NT,Stable,FALSE,TRUE,TRUE,2,0
