to_IUCN	PopId	RefID	Year	TaxaClass	Family	Genus	Species	G_s	Common	Continent	Country	Location	n	FST	GlobalFST	Min.Distance	Max.Distance	Mean.Distance	N.Population	Ho	He	MNA	AR	Lat	Long	Msats	row_id	taxonid	scientific_name	kingdom	phylum	class	order	family	genus	category	population_trend	marine_system	freshwater_system	terrestrial_system	rlcat	meanGD	num_indiv	IUCN_fact	IUCN_binary
Plethodon elongatus	5721	R612	2005	Amphibia	Plethodontidae	Plethodon	elongatus	Plethodon_elongatus	Del Norte Salamder	NAm	USA	Dobbins Creek	15	NA	NA	42180.9949	42180.9949	42180.9949	2	0.514	0.812	NA	NA	41.539	-123.538	11	2195	59339	Plethodon elongatus	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	PLETHODONTIDAE	Plethodon	NT	Decreasing	FALSE	FALSE	TRUE	NT	0.812	15	2	0
Plethodon jordani	5670	R615	2014	Amphibia	Plethodontidae	Plethodon	jordani	Plethodon_jordani	Red cheeked salamander	NAm	USA	Great Smoky Mountains National Park 1,3,8,9,10,11	44	0.0692	Population	2536.96459	67696.65514	39284.0625	38	0.697	0.797	NA	6.022	35.533	-83.846	9	2091	59343	Plethodon jordani	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	PLETHODONTIDAE	Plethodon	NT	Stable	FALSE	FALSE	TRUE	NT	0.78075	237	2	0
Plethodon shermani	5704	R620	2013	Amphibia	Plethodontidae	Plethodon	shermani	Plethodon_shermani	Red-legged salmander	NAm	USA	Orcutt Creek	15	0.2259	Population	7280.811676	195951.406	81094.38731	18	0.62	0.61	NA	3.23	34.902	-120.524	15	2176	59355	Plethodon shermani	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	PLETHODONTIDAE	Plethodon	VU	Stable	FALSE	FALSE	TRUE	VU	0.475625	NA	3	1
Plethodon stormi	5657	R612	2005	Amphibia	Plethodontidae	Plethodon	stormi	Plethodon_stormi	Siskyiou Mountain Salamander	NAm	USA	Rhodonite Creek	10	NA	NA	42180.9949	42180.9949	42180.9949	2	0.535	0.802	NA	NA	41.901	-123.388	11	2069	17628	Plethodon stormi	ANIMALIA	CHORDATA	AMPHIBIA	CAUDATA	PLETHODONTIDAE	Plethodon	EN	Decreasing	FALSE	FALSE	TRUE	EN	0.802	10	4	1
Pleurodema diplolister	5569	R595	2014	Amphibia	Leptodactylidae	Pleurodema	diplolister	Pleurodema_diplolister	Brazilian four-eyed frog 	SAm	BRA	Jussiape	10	NA	NA	127663.2974	996176.4651	688994.5	4	0.581	0.636	5	NA	-13.491	-41.6	23	1971	57286	Pleurodema diplolister	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	LEPTODACTYLIDAE	Pleurodema	LC	Stable	FALSE	TRUE	TRUE	LC	0.653	30	1	0
Pleurodema thaul	5567	R594	2014	Amphibia	Leptodactylidae	Pleurodema	thaul	Pleurodema_thaul	Chilean four-eyed Frog	SAm	CHL	La Serena	23	NA	NA	237687.9784	1199376.85	718532.4143	3	0.698	0.878	13.826	NA	-29.905	-71.251	23	1968	57291	Pleurodema thaul	ANIMALIA	CHORDATA	AMPHIBIA	ANURA	LEPTODACTYLIDAE	Pleurodema	LC	Stable	FALSE	TRUE	TRUE	LC	0.878	23	1	0
Pluvialis dominica	8885	R1244	2013	Aves	Charadriidae	Pluvialis	dominica	Pluvialis_dominica	American Golden-Plovers	NAm	USA	Barrow	57	NA	NA	Inf	0	NA	1	0.505	0.52	7.75	NA	71.284	-156.769	8	5951	22693740	Pluvialis dominica	ANIMALIA	CHORDATA	AVES	CHARADRIIFORMES	CHARADRIIDAE	Pluvialis	LC	Decreasing	TRUE	TRUE	TRUE	LC	0.52	57	1	0
Podiceps grisegena	8832	R1217	1999	Aves	Podicipedidae	Podiceps	grisegena	Podiceps_grisegena	red-necked grebes	NAm	USA	Minnesota	87	NA	NA	Inf	0	NA	1	0.717142857	0.832857143	11	NA	46.73	-94.686	7	5864	22696599	Podiceps grisegena	ANIMALIA	CHORDATA	AVES	PODICIPEDIFORMES	PODICIPEDIDAE	Podiceps	LC	Decreasing	TRUE	TRUE	TRUE	LC	0.832857143	87	1	0
Podocnemis expansa	5781	R628	2006	Reptilia	Podocnemididae	Podocnemis	expansa	Podocnemis_expansa	Giant Amazon river turtle	SAm	BRA	Terra Santa, Amazon River	37	0.1072	Population	236914.3283	2463662.447	1323265.353	17	NA	0.78	NA	6	-2.132	-56.481	9	2256	17822	Podocnemis expansa	ANIMALIA	CHORDATA	REPTILIA	TESTUDINES	PODOCNEMIDIDAE	Podocnemis	LR/cd	NA	FALSE	TRUE	TRUE	LC	0.762555555555556	821	1	0
Podocnemis lewyana	5788	R630	2012	Reptilia	Podocnemididae	Podocnemis	lewyana	Podocnemis_lewyana	Magdalena river turtle	SAm	COL	Cotoca	19	0.082	Global	2509.904767	616531.6918	176211.7739	13	0.321	0.31	NA	2.08	9.212	-75.851	10	2265	17823	Podocnemis lewyana	ANIMALIA	CHORDATA	REPTILIA	TESTUDINES	PODOCNEMIDIDAE	Podocnemis	CR	Decreasing	FALSE	TRUE	TRUE	CR	0.311555555555556	263	5	1
Podocnemis sextuberculata	5765	R626	2015	Reptilia	Podocnemididae	Podocnemis	sextuberculata	Podocnemis_sextuberculata	Cupiso 	SAm	BRA	Abufari Biological Reserve Tapaua	134	NA	NA	694444.9547	694444.9547	694444.9547	2	0.664	0.685	7.5	NA	-5.209	-63.045	6	2239	17824	Podocnemis sextuberculata	ANIMALIA	CHORDATA	REPTILIA	TESTUDINES	PODOCNEMIDIDAE	Podocnemis	VU	NA	FALSE	TRUE	TRUE	VU	0.685	134	3	1
Podocnemis unifilis	5744	R623	2015	Reptilia	Podocnemididae	Podocnemis	unifilis	Podocnemis_unifilis	Taricaya 	SAm	ECU	Estacion de Biodiversidad Tiputini, Playa 11	8	0.1051	Population	556.5747074	14581.91778	8098.089258	10	NA	0.525	NA	NA	-0.649	-76.079	10	2218	17825	Podocnemis unifilis	ANIMALIA	CHORDATA	REPTILIA	TESTUDINES	PODOCNEMIDIDAE	Podocnemis	VU	NA	FALSE	TRUE	TRUE	VU	0.619454545454545	416	3	1
Poecile atricapillus	8544	R1083B	2015	Aves	Patridae	Poecile	atricapillus	Poecile_atricapillus	black-capped chickadee	NAm	CAN	LETH	188	0.03	Population	100095.4327	10452117.53	3654424.314	15	0.668333333	0.7	NA	6.616	49.694	-112.863	29	5373	22711716	Poecile atricapillus	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	PARIDAE	Poecile	LC	Increasing	FALSE	FALSE	TRUE	LC	0.6594951923125	1221	1	0
Poecile rufescens	8827	R1212	2006	Aves	Paridae	Poecile	rufescens	Poecile_rufescens	chestnut-backed chickadees	NAm	CAN	VI	132	0.018363636	Population	332370.9355	994790.8064	568609.6345	9	0.673333333	0.681666667	8.283333333	5.766666667	50.067	-125.491	7	5850	22711767	Poecile rufescens	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	PARIDAE	Poecile	LC	Increasing	FALSE	FALSE	TRUE	LC	0.67791666675	249	1	0
Poliocrania exsul	8582	R1097	2012	Aves	Thamnophilidae	Myrmeciza	exsul	Myrmeciza_exsul	chestnut- backed antbird	CAm	CRI	La Selva Biological Station	46	NA	NA	9892.404765	101741.8731	44648.95289	5	0.765	0.765	9.2	NA	10.441	-84.038	16	5420	103659811	Poliocrania exsul	ANIMALIA	CHORDATA	AVES	PASSERIFORMES	THAMNOPHILIDAE	Poliocrania	LC	Decreasing	FALSE	FALSE	TRUE	LC	0.756	164	1	0
Polysticta stelleri	8681	R1140	2005	Aves	Anatidae	Polysticta	stelleri	Polysticta_stelleri	Steller's eider	NAm	USA	Barrow	49	0.002	Population	Inf	0	NA	1	0.58	0.61	7.1	NA	71.291	-156.789	7	5594	22680415	Polysticta stelleri	ANIMALIA	CHORDATA	AVES	ANSERIFORMES	ANATIDAE	Polysticta	VU	Decreasing	TRUE	TRUE	TRUE	VU	0.61	49	3	1
